pmid,model,n,events,coef,hr,ci_low,ci_high,pvalue
30846479,music_formal,402,107,0.41024841748313234,1.507192151492222,0.8712710738259198,2.607257660402513,0.14233537242844008
30846479,bayesprism_formal,402,107,0.3654898184839938,1.4412197713706856,0.8481726877307508,2.448928690390869,0.17663526940915614
33925460,music_formal,402,107,-1.0757650847927447,0.34103673344327445,0.18312412283399968,0.6351214234243153,0.0006969989333687229
33925460,bayesprism_formal,402,107,-1.0055736581743733,0.3658347105252207,0.19614055517463883,0.6823424931468587,0.0015681465802628459
34329197,music_formal,402,107,0.06746941098149721,1.0697975350408049,0.5609658644937137,2.04017185076367,0.8376969453290253
34329197,bayesprism_formal,402,107,-0.0013712918789067037,0.9986296479121768,0.5462789126733739,1.8255531204907987,0.9964451917094386
34490263,music_formal,402,107,0.6221387025211759,1.8629079903820673,1.1245361186054057,3.0860957893759817,0.015704894677769005
34490263,bayesprism_formal,402,107,0.626719318069947,1.871460829367702,1.1064654495736417,3.165363760076942,0.019425330530915358
34644219,music_formal,402,107,-0.6362743438618663,0.5292605983930946,0.3951886359501517,0.7088179049934774,1.9627827195681768e-05
34644219,bayesprism_formal,402,107,-0.6566369503516946,0.5185924572905731,0.38654242507406106,0.6957532196036351,1.1904153410804476e-05
35125116,music_formal,402,107,0.9615786915405193,2.6158227927878617,1.302261408375535,5.254343589743617,0.006890046814250982
35125116,bayesprism_formal,402,107,0.993161353583885,2.6997558785855498,1.3312053377237918,5.475249833673326,0.005905732145245394
35169299,music_formal,402,107,-0.7716039319816845,0.4622710220979347,0.2845426046878304,0.7510105493900004,0.0018304097544110944
35169299,bayesprism_formal,402,107,-0.7435997309074991,0.47539952134305896,0.28722492946674966,0.786856159431568,0.003823651925680397
35299749,music_formal,402,107,-1.245612304258594,0.28776465465238277,0.1780924408749605,0.46497479657401813,3.621450292979298e-07
35299749,bayesprism_formal,402,107,-1.1145495754467392,0.32806301326168863,0.2073345719629858,0.5190901818802924,1.9307801516642296e-06
35958598,music_formal,402,107,0.6610735738519712,1.9368705922432679,1.0984536729550027,3.415226134211728,0.02234420965869709
35958598,bayesprism_formal,402,107,0.6965154894135454,2.006747975960855,1.1234487949811016,3.584531361832767,0.01861045277491659
36211359,music_formal,402,107,0.6719614259886115,1.9580741741265324,1.2366934350419805,3.100246482064613,0.004155933224204191
36211359,bayesprism_formal,402,107,0.6631984805844465,1.9409906374102706,1.2124107031034927,3.107399699516456,0.0057417948795331335
36468020,music_formal,402,107,-0.5954774171291072,0.5512993032991405,0.4191203646248062,0.725163813240606,2.0655847031899225e-05
36468020,bayesprism_formal,402,107,-0.5878955549483464,0.5554950643789325,0.4242228635413545,0.7273883448275614,1.9205981592561245e-05
37301098,music_formal,402,107,0.6339489669243419,1.8850398606773793,1.3075029494834998,2.7176805052304287,0.0006826975174927282
37301098,bayesprism_formal,402,107,0.5666501575756581,1.7623535456334183,1.2476798993519098,2.4893324172490017,0.0013009323082115057
37578544,music_formal,402,107,-0.6856573584113681,0.5037589705122203,0.38865199980726456,0.6529571454601546,2.2142148286970543e-07
37578544,bayesprism_formal,402,107,-0.6771407312602451,0.5080676193728266,0.39362333761958934,0.6557860807141458,1.9917525536647238e-07
37849225,music_formal,402,107,-1.8454985009328064,0.1579465647514124,0.0790597459014612,0.31554765364242116,1.726194115771056e-07
37849225,bayesprism_formal,402,107,-1.7944451143710738,0.16621965966260174,0.0839589355577244,0.32907724561795293,2.6112021762957793e-07
37968767,music_formal,402,107,0.4509460302723325,1.5697965583142177,0.9089783600565324,2.711022993266751,0.1057434396833107
37968767,bayesprism_formal,402,107,0.3054184466773167,1.3571927970185709,0.7575431661555875,2.431508025644019,0.30460427209061297
38356551,music_formal,402,107,0.3429190461349016,1.409054688885986,0.8635697374437743,2.2991022382843185,0.1698230710751774
38356551,bayesprism_formal,402,107,0.2124422442816924,1.236694685312732,0.7528919805042389,2.0313853571085376,0.4014650278746299
39033778,music_formal,402,107,0.5259961804444268,1.692143689489505,1.0258268647204452,2.791260752036812,0.03941585964744078
39033778,bayesprism_formal,402,107,0.42407772572913316,1.5281803681014448,0.9381282873663721,2.4893559536582197,0.08848965622523328
