pmid,primary_mean,normal_looking_mucosa_mean,normal_looking_minus_primary,mannwhitney_pvalue,qvalue
26802582,0.0402388228430115,-0.0424424354408584,-0.08268125828387,0.1048295359606083,0.13335909321571057
28400426,-0.1505471662091442,0.4045760874474186,0.5551232536565629,8.180096928816164e-09,3.823719727190812e-08
29147616,-0.1355014463297472,0.3723719129810579,0.5078733593108051,3.491062301327938e-09,1.8964960069376096e-08
30642841,0.0280611172559797,-0.1567735982033404,-0.1848347154593201,0.0125984297576101,0.02042164823612605
30846479,-0.1353035079917744,0.2964965491460709,0.4318000571378453,3.4162749087023075e-08,1.391950709467127e-07
31894276,-0.0956703762518318,0.1789150300630254,0.2745854063148572,0.000725388239631,0.0014294415310375588
32096345,-0.1185637204449131,0.3500711695944133,0.4686348900393264,2.9876993341366085e-10,2.3097214083133014e-09
32117435,-0.1131778614382084,0.2419672970198287,0.3551451584580372,1.5266526547691935e-09,9.298702533594178e-09
32467671,0.1285691997898235,-0.3199169445723865,-0.44848614436221,5.904973886650092e-10,4.092757762816098e-09
32695477,-0.2002000988552981,0.598357144585502,0.7985572434408001,2.8978433060419594e-10,2.3097214083133014e-09
32763782,-0.1034366111405808,0.2747378289148706,0.3781744400554514,1.3775085731835886e-09,8.931587845480687e-09
32929335,-0.0413977985299215,0.0816688841915928,0.1230666827215143,0.0499709562630578,0.06879563156763437
33208770,0.0262433536226883,-0.005293753346668,-0.0315371069693563,0.5709508717452447,0.612151622178494
33292266,-0.0684539278435718,0.1721151467884061,0.2405690746319779,0.0457092712587262,0.0642486959650627
33313125,-0.0256307597086721,0.1296681704669537,0.1552989301756258,0.0120224287137961,0.019646407898154604
33391264,0.093929049258341,-0.1320231756975403,-0.2259522249558814,0.0148599642704772,0.023705181098142198
33392066,-0.0211529834965441,0.1346206178358111,0.1557736013323553,0.0017120881304179,0.0032465067378679045
33456631,-0.032963433903436,0.1421454662770616,0.1751089001804977,0.018862724774302,0.02894204335599009
33459039,-0.0084611200275567,-0.0006418664397979,0.0078192535877588,0.9481227358192552,0.9528633494983515
33535616,0.1998686093582745,-0.6252059151961367,-0.8250745245544111,5.315059336634705e-10,3.81545330951277e-09
33545950,0.0601767134354705,-0.1583605248296322,-0.2185372382651028,0.0002440269239505,0.0005323140609962968
33837006,-0.0590054795545203,0.2719058955178793,0.3309113750723996,0.001071814947387,0.0020714885040844905
33925460,0.0216652419745405,-0.0458119641526729,-0.0674772061272135,0.0276976598356317,0.04093551196295567
33937319,-0.1336010695705106,0.3672985138034567,0.5008995833739673,2.9876993341366085e-10,2.3097214083133014e-09
33962639,0.0345055241875741,-0.0300652787888991,-0.0645708029764732,0.0697513641841035,0.09409412215439467
33985530,-0.0995428802427789,0.2269937324591653,0.3265366127019442,6.079829892435216e-07,2.0367430139657975e-06
34095228,0.1096668433748384,-0.3060941543599808,-0.4157609977348192,1.0248211032643933e-07,3.886585693512133e-07
34112144,-0.1495498676542815,0.3721869220098261,0.5217367896641076,3.750595684790128e-09,1.9329993144687583e-08
34266411,-0.0869585676801856,0.2271535587057153,0.314112126385901,0.0005839781631256,0.0011723727156133217
34329197,-0.0527315161838786,0.1559302114567171,0.2086617276405957,0.0001969741572176,0.00043990895111930666
34339395,0.0223369757054398,-0.0958499036581275,-0.1181868793635674,0.0283738512467534,0.04162878905545572
34368227,-0.2171034211570027,0.5363474350957569,0.7534508562527596,4.2688069447582063e-16,4.290150979481997e-14
34404901,0.013335798448966,0.0237337806794611,0.010397982230495,0.5725597262167008,0.612151622178494
34418989,-0.0052636906763421,0.0317038371451773,0.0369675278215194,0.3705078140413381,0.4231367648994827
34422642,0.042983362420292,-0.147303502096664,-0.1902868645169561,0.0017968334782923,0.0033753600853902084
34426176,-0.1366650238242304,0.3690981581793596,0.5057631820035899,1.6684629687867665e-06,5.3231913766053975e-06
34490263,-0.1164742939904179,0.2722764618059844,0.3887507557964024,6.67997887696286e-06,1.9459068902457027e-05
34512654,-0.0113213087420123,-0.0171755026999768,-0.0058541939579644,0.4596835511389965,0.5076724932908697
34512722,-0.0997905773150709,0.2581062170671362,0.3578967943822072,6.2600509735112995e-09,3.068951818721393e-08
34521394,-0.0467569449590687,0.1641828568064252,0.2109398017654939,0.02073665956868,0.031338861453418645
34530089,-0.0727321692882062,0.2406006577121723,0.3133328270003785,3.63056748729632e-05,9.477195648656629e-05
34644219,0.0748056210706261,-0.1086729489617046,-0.1834785700323307,0.0998590194973969,0.127844986745075
34706720,-0.1187622427532927,0.3395611354855242,0.4583233782388169,5.240384108954587e-05,0.000131664650737484
34803395,0.0445843914820946,-0.0413558548258495,-0.0859402463079442,0.3084150393726905,0.36041524949948134
34849009,-0.0941169386762738,0.2723775939143331,0.3664945325906069,9.105573862988552e-06,2.6146004949438554e-05
34901008,-0.0080438736150578,0.06311736405088,0.0711612376659379,0.2822239393139852,0.33368830471830013
35023971,-0.0675578071970024,0.1895445277849965,0.257102334981999,7.219681940772849e-05,0.00017697025245065156
35027921,0.035791867406668,-0.1114121561636454,-0.1472040235703134,0.0179251487666717,0.02771503770846932
35125116,-0.0547228381023349,0.1370435966585454,0.1917664347608804,0.0005638921770294,0.0011549428675124546
35127296,-0.0883666095720526,0.2206505416113101,0.3090171511833627,1.1967844512617598e-06,3.879897979090544e-06
35169299,0.058529574438975,-0.1329175849766072,-0.1914471594155823,0.0035988730159667,0.006182679283840228
35205125,-0.1087632313020197,0.3818213153456216,0.4905845466476414,1.1707026708721064e-05,3.268211622851297e-05
35265613,-0.0062582556034858,0.05621747163053,0.0624757272340159,0.1567644823254067,0.19450407992226387
35281080,-0.0308138768787207,0.1071009508663211,0.1379148277450419,5.240384108954587e-05,0.000131664650737484
35299749,0.1301079828015965,-0.2776076032470344,-0.4077155860486309,3.025808958535995e-08,1.2670575013869478e-07
35300137,-0.0911675318151224,0.3094930576084028,0.4006605894235252,5.032708919209512e-05,0.00012968903753347586
35309900,-0.017584863918456,0.1257577594818533,0.1433426234003093,0.0488754663916091,0.06775150858423054
35480865,0.1183269885399802,-0.2798056994499767,-0.3981326879899569,4.781255132070744e-09,2.4025807038655488e-08
35593896,-0.1358494316301633,0.3451115897019096,0.4809610213320729,2.275640571166951e-08,9.94355988705559e-08
35626146,0.0054467599745955,0.0196714651858962,0.0142247052113006,0.8638043840029183,0.8768923292150838
35646934,-0.0556525629402951,0.1784340226952811,0.2340865856355763,0.007911818761882,0.013476911619815948
35669725,-0.0097378548060989,-0.0304581861394902,-0.0207203313333913,0.6521922670746494,0.6899507667473922
35730624,0.0226810030591392,-0.0360294819615913,-0.0587104850207306,0.0304884103634265,0.0437726463074909
35804889,-0.0717915271970262,0.2679046079933361,0.3396961351903624,1.9900494279706183e-06,6.249998984720223e-06
35846128,-0.0943687303807695,0.2847152707052862,0.3790840010860558,1.3375713812906083e-09,8.931587845480687e-09
35918812,-0.1080977939748994,0.2785960774025035,0.3866938713774028,4.3490803481223606e-08,1.714049313671754e-07
35949618,-0.0506519771123962,0.1523590558181445,0.2030110329305408,0.0022280012289039,0.004071165881906218
35958598,-0.0971392830579592,0.2349893462279493,0.3321286292859086,2.8279693612906685e-08,1.2094081736583498e-07
36158580,-0.056834585485,0.1064779338291672,0.1633125193141672,0.0750108143379763,0.09984883233068367
36211359,-0.1178183082435086,0.2432762761259703,0.3610945843694789,3.129092301677792e-06,9.529508373291458e-06
