pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5,title,year
41216727,0.2261603942638518,False,0.2245279837003469,0.3893860468202448,3,3,0.1311954236394048,0.0695689716161113,unclassified,unclassified,unclassified,Construction and mechanistic exploration of a ferroptosis related gene based prognostic model for cisplatin resistance in bladder cancer.,2025
39695796,0.2144150331743795,False,0.8142889689001381,0.5206224956930485,6,6,-0.0779350768006743,0.2001315313766617,unclassified,unclassified,unclassified,Prognostic feature based on androgen-responsive genes in bladder cancer and screening for potential targeted drugs.,2024
34095228,0.2051754374878041,False,0.9315695701623172,0.9397903832620385,4,4,-0.4157609977348192,1.0248211032643933e-07,unclassified,unclassified,unclassified,Construction and External Validation of a Ferroptosis-Related Gene Signature of Predictive Value for the Overall Survival in Bladder Cancer.,2021
38017469,0.1948929674261287,False,0.9743777721781016,0.8904979210422149,3,3,0.0467231248338413,0.884310093667771,unclassified,unclassified,unclassified,Identifying prognostic characteristics of m6A-related glycolysis gene and predicting the immune infiltration landscape in bladder cancer.,2023
38735911,0.1928748837440145,False,0.3765075952610605,0.9928018793158648,3,3,-0.0440718812456499,0.5267995800889268,unclassified,unclassified,unclassified,Prognostic significance and immune landscape of a cell cycle progression-related risk model in bladder cancer.,2024
34422642,0.1900922926867162,False,0.3156893229226542,0.7116367779275844,9,9,-0.1902868645169561,0.0017968334782923,unclassified,unclassified,unclassified,A Novel Prognostic Model Based on Ferroptosis-Related Gene Signature for Bladder Cancer.,2021
38570787,0.1899498723611779,False,0.6459257187488843,0.7145307411265877,3,2,-0.6519055192517441,5.382073587654509e-08,unclassified,unclassified,unclassified,Deciphering the prognostic features of bladder cancer through gemcitabine resistance and immune-related gene analysis and identifying potential small molecular drug PIK-75.,2024
41507856,0.18922328208565,False,0.595527636795349,0.9733988117985964,9,9,0.0726191623601574,0.322095107639802,unclassified,unclassified,unclassified,"MXRA8, a key palmitoylation-related gene, promotes bladder cancer progression via remodeling tumor microenvironment and predicts poor prognosis.",2026
32467671,0.188869235020973,False,0.937018112334,0.4026026186576577,3,2,-0.44848614436221,5.904973886650091e-10,unclassified,unclassified,unclassified,A glycolysis-based 4-mRNA signature correlates with the prognosis and cell cycle process in patients with bladder cancer.,2020
35027921,0.1871657399583651,False,0.1347576488765868,0.3929103497068387,4,4,-0.1472040235703134,0.0179251487666717,unclassified,unclassified,unclassified,"Identification of a Novel PPAR Signature for Predicting Prognosis, Immune Microenvironment, and Chemotherapy Response in Bladder Cancer.",2021
38333832,0.1800817159737959,False,0.2936759830836124,0.3521979730638714,4,4,0.0434750730720315,0.2738389106993324,unclassified,unclassified,unclassified,The prognostic significance and clinical relevance of stem cell characteristic in bladder cancer.,2024
35265613,0.1671835825740408,False,0.0532515490858192,0.7473771976872164,13,12,0.0624757272340159,0.1567644823254067,unclassified,unclassified,unclassified,Identification and Quantification of Iron Metabolism Landscape on Therapy and Prognosis in Bladder Cancer.,2022
37701108,0.1555561344164265,False,0.2936759830836124,0.5851163877018033,4,4,-0.4988141238166236,8.445421199907698e-07,unclassified,unclassified,unclassified,Novel potential urinary biomarkers for effective diagnosis and prognostic evaluation of high-grade bladder cancer.,2023
37740761,0.1550088026242332,False,0.8769078982376741,0.4867123471380454,3,3,-0.7780286484183954,7.625485978044443e-09,unclassified,unclassified,unclassified,Identifying possible hub genes and biological mechanisms shared between bladder cancer and inflammatory bowel disease using machine learning and integrated bioinformatics.,2023
33962639,0.1504686152767686,False,0.5633524174052918,0.8031970110522847,7,7,-0.0645708029764732,0.0697513641841035,unclassified,unclassified,unclassified,Identification and validation of a hypoxia-related prognostic and immune microenvironment signature in bladder cancer.,2021
