pmid,pvalue_0,pvalue_001
26802582,0.9462807012361218,0.9992490803039039
28400426,0.0144554297909222,0.021617277902195094
29147616,0.11206593408150527,0.12319407318049375
30642841,0.04064339601723262,0.03446460280193021
30846479,0.0009692625338652459,0.002077356118864515
31894276,0.9453864598646636,0.9458371472682603
32096345,0.2590313093503732,0.20736998696777842
32117435,0.9021711895972329,0.924472897981932
32467671,0.20286076547381743,0.2378631940307354
32695477,0.029363869088162745,0.04846352667344676
32763782,0.013377167042548937,0.0324525446740707
32929335,0.8325568676333817,0.6714709292897368
33208770,0.5107044389072611,0.6058212608708398
33292266,0.05456146997152054,0.054702541072736886
33313125,0.4115604963104478,0.5295119180965406
33391264,0.19540927537414998,0.1407219201596918
33392066,0.64467415561335,0.5152424855617066
33456631,0.30841758464816144,0.37183357967694297
33459039,0.060512866592099465,0.08516689714158883
33535616,0.30273580375778036,0.4042950990014853
33545950,0.16913453160611935,0.1825971354644919
33837006,0.18685993817241275,0.18426656666003516
33925460,0.007823541054894434,0.005810484990134772
33937319,0.8138415402150436,0.777948884107304
33962639,0.6606295415905048,0.5944230740228628
33985530,0.11957710168408794,0.1576875496769161
34095228,0.8728355232744569,0.8930153097843335
34112144,0.7911928774878061,0.9252808456282855
34266411,0.2513628382502344,0.25266797737828106
34329197,0.0024562174436520024,0.010345181111288269
34339395,0.1108694745414926,0.14781739159612794
34368227,0.9745385441360003,0.9425518880750499
34404901,0.1002803315031927,0.08776862309689214
34418989,0.009457009202419021,0.008747518491792287
34422642,0.5363962213629166,0.46203121357824684
34426176,0.20702221137674987,0.19762999241006338
34490263,0.00044553799904838994,0.0008369360400461218
34512654,0.0556087764764689,0.06238132575920771
34512722,0.5512377064505719,0.6941895188092747
34521394,0.5986010456460469,0.6337223962096954
34530089,0.9733864077775001,0.8964302882269308
34644219,0.0012188845689329088,0.0008783526977103789
34706720,0.4618399312179948,0.38083525618510383
34803395,0.031411259478178646,0.02669465402324267
34849009,0.20522312983829596,0.21439977905153662
34901008,0.13297612033853207,0.1609248840334484
35023971,0.16747510820412076,0.1469430098251114
35027921,0.19639965742224946,0.20756429612005578
35125116,0.001020972108833952,0.0013952748988668188
35127296,0.018443026714513942,0.03326251086836841
35169299,0.006898267039194482,0.005818521127928912
35205125,0.014171828668165675,0.030005099882662905
35265613,0.596586219031322,0.4170711132621916
35281080,0.2857342233294024,0.24300300530868818
35299749,3.9052991472590295e-06,4.104563150068417e-06
35300137,0.5891459865442432,0.5578248848716976
35309900,0.39311683873506154,0.42694008268704475
35480865,0.733053888761379,0.7514144170683684
35593896,0.10516101378105523,0.1897976549624672
35626146,0.6870723097752025,0.6569348910090205
35646934,0.49168497030970926,0.34798293853274853
35669725,0.8576956874309207,0.8939571466653339
35730624,0.12113193795839239,0.10285934883147817
35804889,0.9593366052538274,0.9799313816481529
35846128,0.952202810391088,0.9895511475567356
35918812,0.33348490297095523,0.30383463231749264
35949618,0.13020452115526904,0.14329844135703218
35958598,0.0005987881796886506,0.0011343369358739618
36158580,0.2033143224221176,0.1968437159401018
36211359,0.002210855663412723,0.0028103765592746486
36211821,0.5529273145192226,0.41446481043915095
36300085,0.02336973758446511,0.05967142891042228
36358715,0.9774172156127781,0.8744121556476396
36428492,0.240639865811279,0.23121679518419508
36455365,0.5678884420715808,0.7341373245948987
36468020,0.0025592300186185173,0.0015645982948629142
36505302,0.5003343012446645,0.3824861703377548
36527532,0.418670205056878,0.48850725317951516
36568387,0.3854454203985629,0.48930231899857346
36620542,0.12629895956146675,0.14943712965585773
36973645,0.2163872344022411,0.2520004705391914
37138324,0.6161613675487894,0.807855363392589
