group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
class,microenvironment_associated_attenuation,HALLMARK_INTERFERON_GAMMA_RESPONSE,72,188,4,5.149936061381074,0.009456099297567142,0.03170771063402565
class,microenvironment_associated_attenuation,HALLMARK_PI3K_AKT_MTOR_SIGNALING,72,102,3,7.111989459815547,0.0102735271248788,0.03220355617990855
class,microenvironment_associated_attenuation,HALLMARK_XENOBIOTIC_METABOLISM,72,192,4,5.039111389236545,0.010160156768206864,0.03220355617990855
class,microenvironment_associated_attenuation,HALLMARK_BILE_ACID_METABOLISM,72,110,3,6.57700121901666,0.012595922427405239,0.03732973373940098
class,microenvironment_associated_attenuation,HALLMARK_UV_RESPONSE_UP,72,144,3,4.980573543015726,0.025598220534113907,0.0627445104821138
class,microenvironment_associated_attenuation,HALLMARK_E2F_TARGETS,72,181,3,3.936248168050806,0.045558602669642165,0.0990140298020223
class,microenvironment_associated_attenuation,HALLMARK_APICAL_JUNCTION,72,183,3,3.8920289855072463,0.04680632374173802,0.09973112117520651
class,microenvironment_associated_attenuation,HALLMARK_ESTROGEN_RESPONSE_LATE,72,185,3,3.848781653129479,0.04807091744666132,0.10110399411362316
class,microenvironment_associated_attenuation,HALLMARK_COMPLEMENT,72,191,3,3.724560592044403,0.051965128403739305,0.10652162334560618
class,microenvironment_associated_attenuation,HALLMARK_INFLAMMATORY_RESPONSE,72,195,3,3.646059782608696,0.05464411213733611,0.10796351852588833
class,microenvironment_associated_attenuation,HALLMARK_INTERFERON_ALPHA_RESPONSE,72,89,2,5.322167487684729,0.05850612577271255,0.111537994163183
class,microenvironment_associated_attenuation,HALLMARK_PROTEIN_SECRETION,72,93,2,5.086970172684459,0.06320920373337167,0.1184264391786159
class,microenvironment_associated_attenuation,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,72,95,2,4.976958525345622,0.06560756906756864,0.12015768267431111
class,microenvironment_associated_attenuation,HALLMARK_APOPTOSIS,72,157,2,2.9747465437788017,0.15182732550080513,0.23347032128897394
class,microenvironment_associated_attenuation,HALLMARK_APICAL_SURFACE,72,43,1,5.449698189134809,0.172913415982351,0.2529768716227526
class,microenvironment_associated_attenuation,HALLMARK_WNT_BETA_CATENIN_SIGNALING,72,42,1,5.582961181724493,0.16924901169650589,0.2529768716227526
class,microenvironment_associated_attenuation,HALLMARK_G2M_CHECKPOINT,72,178,2,2.616396103896104,0.18454723166656978,0.2627178931148548
class,microenvironment_associated_attenuation,HALLMARK_ADIPOGENESIS,72,182,2,2.5576190476190477,0.19089670547036233,0.2659501110399065
class,microenvironment_associated_attenuation,HALLMARK_KRAS_SIGNALING_UP,72,192,2,2.421503759398496,0.20689488214610316,0.2775626813976528
class,microenvironment_associated_attenuation,HALLMARK_MYOGENESIS,72,192,2,2.421503759398496,0.20689488214610316,0.2775626813976528
class,microenvironment_associated_attenuation,HALLMARK_TNFA_SIGNALING_VIA_NFKB,72,192,2,2.421503759398496,0.20689488214610316,0.2775626813976528
class,microenvironment_associated_attenuation,HALLMARK_ANDROGEN_RESPONSE,72,91,1,2.5356807511737087,0.3312599406897102,0.4029505248688266
class,microenvironment_associated_attenuation,HALLMARK_PEROXISOME,72,99,1,2.327536648462202,0.35457089262155894,0.4249636433626037
class,microenvironment_associated_attenuation,HALLMARK_DNA_REPAIR,72,129,1,1.778719190140845,0.43506581463194877,0.4840064155448931
class,microenvironment_associated_attenuation,HALLMARK_UV_RESPONSE_DN,72,130,1,1.7648214870619063,0.43757106600830364,0.4840064155448931
class,microenvironment_associated_attenuation,HALLMARK_OXIDATIVE_PHOSPHORYLATION,72,178,1,1.2824063022201002,0.5457681178466209,0.575794195527503
class,microenvironment_associated_attenuation,HALLMARK_KRAS_SIGNALING_DN,72,184,1,1.2398984068344494,0.557758520770155,0.5809242101312158
class,microenvironment_associated_attenuation,HALLMARK_HYPOXIA,72,186,1,1.226341834792539,0.5616855369468033,0.5812999525227235
class,microenvironment_associated_attenuation,HALLMARK_IL2_STAT5_SIGNALING,72,189,1,1.206547797422835,0.567511670909123,0.5836239896415587
class,microenvironment_correlated,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,584,189,57,12.82262377091599,3.177933671954923e-37,5.180031885286524e-35
class,microenvironment_correlated,HALLMARK_ALLOGRAFT_REJECTION,584,189,42,8.241433842909858,6.062824190625046e-22,4.9412017153594123e-20
class,microenvironment_correlated,HALLMARK_INTERFERON_GAMMA_RESPONSE,584,188,36,6.7547541298501725,9.41452455097653e-17,4.384478576597641e-15
class,microenvironment_correlated,HALLMARK_TNFA_SIGNALING_VIA_NFKB,584,192,33,5.884395438824778,4.836620742593354e-14,1.5767383620854333e-12
class,microenvironment_correlated,HALLMARK_APOPTOSIS,584,157,29,6.389878941441442,2.5375349232605306e-13,6.222941156909854e-12
class,microenvironment_correlated,HALLMARK_UV_RESPONSE_DN,584,130,26,7.023745519713262,6.450053651897386e-13,1.4018116603456985e-11
class,microenvironment_correlated,HALLMARK_IL6_JAK_STAT3_SIGNALING,584,86,21,9.01860909960377,1.846328135610631e-12,3.7618935763066607e-11
class,microenvironment_correlated,HALLMARK_COMPLEMENT,584,191,30,5.253716617709712,7.643772555544476e-12,1.465805795945588e-10
