pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5
41584451,0.3829255601018397,False,6.867803009000678e-05,0.0040441077690933,4,4,-0.2825132145828029,0.0011458137370831,microenvironment_correlated,composition_adjustment_persistent,composition_adjustment_persistent
42220482,0.3796007236925459,False,3.677412940151339e-05,0.002238353840735,3,3,-0.1599199807908088,0.0797726938871091,microenvironment_correlated,composition_adjustment_persistent,composition_adjustment_persistent
41862905,0.3617474727328271,False,3.677412940151339e-05,0.000227910397903,6,6,0.1085131104062441,0.1237875774066353,microenvironment_correlated,composition_adjustment_persistent,composition_adjustment_persistent
41685329,0.3247095565579782,False,0.0163550199031044,0.024104905094717,4,4,0.1475588999553391,0.0843508805971437,microenvironment_correlated,composition_adjustment_persistent,composition_adjustment_persistent
34644219,0.312868015508402,False,0.0002730295936834,0.0119773944180073,3,3,-0.1834785700323307,0.0998590194973969,microenvironment_correlated,composition_adjustment_persistent,composition_adjustment_persistent
40735323,0.2420777152573784,False,9.466692700453037e-05,0.000619802744819,9,8,-0.1670304113713509,0.0005891027078455,composition_adjustment_persistent,composition_adjustment_persistent,composition_adjustment_persistent
33925460,0.2306486382674783,False,0.001050262989971,0.047777349953554,11,11,-0.0674772061272135,0.0276976598356317,composition_adjustment_persistent,composition_adjustment_persistent,composition_adjustment_persistent
35169299,0.1213697074433732,False,0.0029304846193526,0.0430137294692552,7,7,-0.1914471594155823,0.0035988730159667,composition_adjustment_persistent,composition_adjustment_persistent,composition_adjustment_persistent
35299749,0.0890856091042963,False,2.008192422583901e-05,0.0002186395952918,5,5,-0.4077155860486309,3.025808958535995e-08,composition_adjustment_persistent,composition_adjustment_persistent,composition_adjustment_persistent
42436233,0.5882833387640074,True,0.0430137294692552,0.3765075952610605,4,4,0.4118700121620395,0.0030194284862802,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
33292266,0.5700475258475936,True,0.0208094748281234,0.1747327097451009,5,5,0.2405690746319779,0.0457092712587262,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
39343809,0.5534013025602674,True,0.0380629250822155,0.0889641471877705,6,6,0.2011070122394317,0.0106470957520328,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
34803395,0.5504795280030111,False,0.0221786654866491,0.117637253399464,5,5,-0.0859402463079442,0.3084150393726905,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
42059994,0.4912072403780735,False,0.0076752147761991,0.0650215228297663,4,4,-0.1230245186276903,0.1220643811341172,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
35949618,0.4390145068357132,True,0.047777349953554,0.3156473240127722,6,6,0.2030110329305408,0.0022280012289039,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
41505248,0.3956701754883521,False,0.0024569141312613,0.1747327097451009,7,7,0.0502522534721466,0.4625611629747627,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
38073378,0.3277302854972643,False,0.0084612797597183,0.0913207428305973,5,5,-0.2137812315354711,0.0001694239516241,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
40500142,0.3035758599397827,False,0.0073190189296049,0.117637253399464,12,12,-0.2662086325720031,0.0001742965250544,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
34418989,0.2889198219807584,False,0.0024569141312613,0.0544288299419799,12,12,0.0369675278215194,0.3705078140413381,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
30642841,0.2567018473642529,False,0.0320022315385726,0.1407563498432312,3,3,-0.1848347154593201,0.0125984297576101,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
38273010,0.1573266780089145,False,0.0409870501618959,0.3242793941685113,6,6,-0.1875789163970155,0.0108661222899545,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
33391264,0.1407091237481577,False,0.0332830616764321,0.3927824630636189,3,3,-0.2259522249558814,0.0148599642704772,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
39432593,0.0892727284497547,False,0.0405103736402185,0.2386530595839906,6,6,0.1565932806910128,0.0647985227117864,microenvironment_associated_attenuation,microenvironment_associated_attenuation,microenvironment_associated_attenuation
34426176,0.967938626087766,True,0.356496860965078,0.4079255396586265,17,16,0.5057631820035899,1.6684629687867665e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
