covariate,n,mean,sd,min,q25,median,q75,max
age,402,68.04228855721394,10.615036750914255,34.0,60.0,69.0,76.0,90.0
sex_female,402,0.263681592039801,0.44117772342937595,0.0,0.0,0.0,1.0,1.0
stage_num,402,2.9950248756218905,0.8205436579740931,1.0,2.0,3.0,4.0,4.0
tumor_epithelial_fraction,402,0.14768311852624183,0.02966733092479751,0.0501034980941003,0.12767195347678995,0.1491671236721362,0.16667347502735919,0.2369152357820664
normal_urothelial_fraction,402,0.12146863330008183,0.03874510635875737,0.0291949573293143,0.08944662907776763,0.1262865499922643,0.14822822955687137,0.2256871575883624
immune_score,402,4.777985346534191,1.2957855113752812,1.8221282982713445,3.839286399768329,4.744990320889037,5.688406205154551,8.181788456644602
stromal_score,402,8.970388768185451,1.210848986153215,6.15796355687665,8.116436406846232,9.022724110190337,9.866393866865884,12.11696231027384
