pmid,model,coef,hr,pvalue,qvalue_global
26802582,m1_clinical,-0.03758125314887902,0.9631161583208536,0.8523620255076736,0.9328175381752927
26802582,m1_plus_tumor,-0.08010559620902745,0.9230188739464168,0.6991450026642289,0.8552232448492096
26802582,m1_plus_normal,-0.0955239721433488,0.9088965731935724,0.6473667282321189,0.811745113770682
26802582,m1_plus_both,-0.13712805864485414,0.8718585699560197,0.5217380008730614,0.7225940552223583
28400426,m1_clinical,0.2710743909741916,1.3113726210429064,0.08316827334941054,0.24919332838774697
28400426,m1_plus_tumor,0.261788869194794,1.2992522013060424,0.09868773766324698,0.2829755918659412
28400426,m1_plus_normal,0.3801561257407436,1.4625129075216294,0.11247652336458783,0.30399060368807523
28400426,m1_plus_both,0.3663488866116217,1.4424584093021855,0.13066915638832527,0.33291504812312167
29147616,m1_clinical,-0.14971849830623857,0.8609503012840843,0.20303171529420416,0.4274351900930614
29147616,m1_plus_tumor,-0.2412380263159827,0.785654597660833,0.06989361430621009,0.22365956577987228
29147616,m1_plus_normal,-0.4026405628639615,0.6685523586870031,0.009656759306809619,0.06437839537873079
29147616,m1_plus_both,-0.6544831196098606,0.5197106214034267,0.0003767356896214921,0.006278928160358201
30642841,m1_clinical,-0.5354120628836067,0.5854280072835267,0.010506811062307754,0.06825003976268057
30642841,m1_plus_tumor,-0.5269040082973947,0.5904301096318123,0.013048568461160722,0.08092135479789594
30642841,m1_plus_normal,-0.5336013992906198,0.5864889807057372,0.016306024438340134,0.0912225143403644
30642841,m1_plus_both,-0.5254156660729562,0.591309525968453,0.019360156291626514,0.10122957538105366
30846479,m1_clinical,0.43937662989903914,1.5517396088765614,0.03886400583713063,0.1570262862106288
30846479,m1_plus_tumor,0.5445341459009921,1.7238051536005572,0.03845802132882431,0.15617470590385507
30846479,m1_plus_normal,0.4392469110653715,1.5515383320793201,0.06445479138801463,0.21803122345514322
30846479,m1_plus_both,0.5713835840187098,1.7707152907487487,0.059386323779584776,0.2065611261898601
31894276,m1_clinical,-0.039574985625931106,0.9611978752638775,0.7759789342472914,0.9031791752702345
31894276,m1_plus_tumor,-0.06796922970369954,0.934289221491096,0.6385692157714729,0.8032317179515381
31894276,m1_plus_normal,-0.15523907866182302,0.8562104513628145,0.35306809818381935,0.5730064691616044
31894276,m1_plus_both,-0.18380157180750462,0.8321008997237958,0.28033319223008,0.501714885422962
32096345,m1_clinical,-0.18577467418476717,0.8304606981353819,0.21518758199298724,0.4383906215743282
32096345,m1_plus_tumor,-0.31329777758691296,0.7310321951517792,0.07293379576826274,0.22836617561898426
32096345,m1_plus_normal,-0.4804245180984093,0.6185207628066499,0.014238193304288927,0.0837540782605231
