iteration,adjusted_rand_index,cohens_kappa
0,0.87176958793851,0.826309534692385
1,0.8727933199903466,0.8321130438837849
2,0.8489105788319649,0.7965223825379208
3,0.8623452277724138,0.7792189871671037
4,0.8786237439155453,0.8240903620035182
5,0.898264812056466,0.8351950192272477
6,0.8686081171385263,0.8061657744138823
7,0.8668273595423792,0.8062551895931359
8,0.8527622210443654,0.8276565830649916
9,0.9006895504772352,0.852016278209397
10,0.8393598120175229,0.760423865468786
11,0.867358751506936,0.8356914650844363
12,0.8754575476770241,0.831807138852551
13,0.8841213091094733,0.8252391464311994
14,0.89087135510372,0.8372513562386981
15,0.8825705188840068,0.807038500413489
16,0.8614936235934797,0.8121977557631814
17,0.8276723871449628,0.7370091593361747
18,0.8889978210558529,0.8555109044114327
19,0.902049096072723,0.8425196850393701
20,0.8889187183233174,0.8450601531170252
21,0.8638825017797231,0.7859340855371717
22,0.8315549931497346,0.7590361445783133
23,0.8657933057818513,0.8155832180728446
24,0.8760643220348769,0.8092643051771117
25,0.8858256100025376,0.8343990063940383
26,0.9156218151944496,0.887239240744221
27,0.8823283232390055,0.8501521891828612
28,0.8789776575856683,0.7887582659808964
29,0.8958040472316894,0.8338180307436643
30,0.858283462804847,0.7843859491510197
31,0.8635826897233416,0.8085426448466062
32,0.9181276663300787,0.88830455624331
33,0.8687942641213965,0.8135458910175732
34,0.9060601602806472,0.8438934802571166
35,0.9068801809072745,0.8623221661312528
36,0.8658558880238642,0.8157700810611643
37,0.885531874996475,0.8270604833204387
38,0.9020973825521273,0.853439589630851
39,0.8898486510738378,0.852731372819734
40,0.868844953268183,0.7811915941104071
41,0.8446071127543019,0.8172681589767017
42,0.8825705188840068,0.807038500413489
43,0.8765209443740407,0.8148748090896469
44,0.9090514878579864,0.8781516543256163
45,0.892715184466092,0.8416026088982064
46,0.8473874937985065,0.7596931466333934
47,0.8765209443740407,0.8148748090896469
48,0.825046963877364,0.7326572943074441
49,0.8927156139734256,0.8524665744582757
50,0.8900666869799306,0.8512250685759449
51,0.8963816786886042,0.8525481522440328
52,0.934978763485387,0.8805201966821378
53,0.8846744035504627,0.8161849179725197
54,0.8891403367426824,0.8250218722659668
55,0.8581356131405229,0.7858194636562402
56,0.8638530047953016,0.8066031219781737
57,0.8723243657282342,0.7990408769125371
58,0.8949848113106513,0.8320190378423779
59,0.8734010948212833,0.8243099542281196
60,0.9008663151835864,0.8533589955091192
61,0.909624741515074,0.8436350257542311
62,0.8705351131616723,0.8208898944193062
63,0.908693411420372,0.8806134631279273
64,0.8873985978193829,0.8592276289240298
65,0.8426882095737374,0.7970479704797048
66,0.8573200518755185,0.7981651376146789
67,0.9042823931581194,0.8257839721254355
68,0.9464201846882303,0.91701244813278
69,0.8938091199746545,0.833894707700826
70,0.8557443538085319,0.8273512039981826
71,0.8346875645974395,0.76366859064673
72,0.8990961532190352,0.8613422074320577
73,0.9065107395607875,0.8441225013753897
74,0.8781938985207073,0.8518655680029626
75,0.8329410271664691,0.716234152592796
76,0.8384219136427965,0.801980198019802
77,0.8668716816592117,0.8417279582906619
78,0.8913348614833441,0.8249412631869903
79,0.8321065608526532,0.8215321465221077
80,0.8680639286538926,0.8249412631869903
81,0.8849191569648215,0.8543866035675283
82,0.8361951455190166,0.7904709847863716
83,0.8863040943999774,0.8714711957769107
84,0.882136877807527,0.8020692757534863
85,0.9091311317820889,0.8182644252612449
86,0.9225930191994219,0.8443864707766946
87,0.9099200008994202,0.8806792106470858
88,0.8784444919513067,0.8019623728508416
89,0.9292375200395286,0.8807722291007475
90,0.860752455357299,0.7861161482308086
91,0.8685255771114769,0.8154385641120288
92,0.84837795686214,0.7916761016258321
93,0.8843563646413871,0.8234528897974354
94,0.9126566360514852,0.8450601531170252
95,0.9232674793158899,0.8892988929889298
96,0.9005899004728315,0.8504742769029485
97,0.8898486510738378,0.852731372819734
98,0.934978763485387,0.8805201966821378
99,0.8846744035504627,0.8161849179725197
100,0.851374833847754,0.7966352375670179
101,0.8781452946929188,0.8276018510117049
102,0.911866936907407,0.8464456688646012
103,0.9273192051793768,0.8811591553158424
104,0.8652544816439882,0.76802284082798
105,0.8517408001198715,0.8081315669255368
106,0.8560434039987943,0.8071890924115136
107,0.8678141346863183,0.7900502053856686
108,0.9177777526976777,0.8710806206547262
109,0.8811868798318282,0.8237722023837128
110,0.9153922532640548,0.8603481984917605
111,0.897520842800541,0.8262539435782543
112,0.8603999803374526,0.7544450002273657
113,0.8891403367426824,0.8250218722659668
114,0.8640462481057765,0.7630655670478881
115,0.8766512226491564,0.8151229432427436
116,0.8977080235517771,0.8170675935241928
117,0.8851704646096447,0.843843292150829
118,0.8765209443740407,0.8148748090896469
119,0.8867382682660451,0.8634563743115926
120,0.9122629695287146,0.8711695960246618
121,0.8924541197224738,0.8696886489505282
122,0.8919046676923336,0.8247070762985516
123,0.8665986324765373,0.7717937015061616
124,0.8889650755226023,0.8270053719384504
125,0.8623394792750766,0.7953678727560227
126,0.8997837341019161,0.8519135545374612
127,0.9144204881211677,0.8448551220625142
128,0.8438649286233221,0.7605562462586913
129,0.9004722664860213,0.8504113687359761
130,0.8871718342319509,0.86066601644141
131,0.9014167271711807,0.8447488584474886
132,0.8839969913528615,0.8405328080296421
133,0.8506636601502712,0.8487813556306707
134,0.8962845707017657,0.8413142910482592
135,0.8881314507305982,0.8231324179660229
136,0.8671016819111922,0.8042688041755988
137,0.888404975113188,0.8359086558184056
138,0.8669834667824265,0.8154981549815499
139,0.9126157112759185,0.8887085555297937
140,0.8600059386723593,0.8028539241457003
141,0.8784792131621768,0.8332175121612231
142,0.8784792131621768,0.8332175121612231
143,0.9150685063748158,0.8885069218619344
144,0.8793883719499239,0.814540059347181
145,0.9016746670585827,0.8611561068172351
146,0.8851704646096447,0.843843292150829
147,0.8685255771114769,0.8154385641120288
148,0.9007501985311239,0.8614830547603657
149,0.8722649396450284,0.8004897070826154
150,0.9054773653960051,0.8623853211009174
151,0.8881511928931861,0.8511904761904762
152,0.8763548723743223,0.8351195383347073
153,0.883487615034558,0.8516114073730582
154,0.9520272599655935,0.9075315548569051
155,0.8488047108258147,0.7756694863765949
156,0.8893260493952544,0.8157700810611643
157,0.8871361437316463,0.8158548936562011
158,0.9037539192432549,0.8517488996988649
159,0.9046506493443475,0.8347714338167799
160,0.8499718692495308,0.7871552841014251
161,0.902342442530582,0.835285505124451
162,0.8615453059277918,0.7792494481236203
163,0.8569365445746977,0.8348245010323468
164,0.8780040989537428,0.8365493757094211
165,0.8909199325794669,0.8266976786610115
166,0.9324029836212041,0.8980301274623407
167,0.8927156139734256,0.8524665744582757
168,0.8800672374923582,0.8043487927431189
169,0.9081548810065084,0.8700876908087041
170,0.9202443104245391,0.8975886788939578
171,0.9186194130519882,0.8904959620386002
172,0.8532672564181295,0.807533681605719
173,0.8776635315769584,0.8008869580957553
174,0.8594211611804972,0.7708209194664711
175,0.8388371179963201,0.7473722199666171
176,0.8392184136347904,0.7719706298171205
177,0.9160344390273265,0.8539479689639433
178,0.8752045878705788,0.8335183129855716
179,0.8641312824952057,0.8046239010094431
180,0.8851708468171559,0.8236085967599684
181,0.8428362059722221,0.8209489704565802
182,0.8623896132898102,0.7887776655340252
183,0.8923000003896276,0.8432095918837906
184,0.884820101056727,0.7997360156570024
185,0.9218626029930493,0.9086549440511532
186,0.8407519500413128,0.7813610276031703
187,0.8508136523342341,0.8097912232235859
188,0.8565361694767645,0.7859149904107756
189,0.8849596913783898,0.8069498069498069
190,0.8929296918410548,0.8509548206800186
191,0.8860014532253138,0.797979797979798
192,0.9161966829091697,0.8540745132016964
193,0.8774597761484416,0.8411140707509697
194,0.883840694084467,0.809471965160588
195,0.8599334696731888,0.8269659851555029
196,0.8845205504094878,0.8436853478001012
197,0.9160500536295285,0.8802505526897568
198,0.9007501985311239,0.8614830547603657
199,0.92002544616222,0.8800350666728187
200,0.9086995540694546,0.8545322302027457
201,0.8657440930407875,0.7637974108562344
202,0.8831744791520398,0.8236904375260985
203,0.9329173890310027,0.8714711957769107
204,0.8432602468754254,0.7764842840512224
205,0.882136877807527,0.8020692757534863
206,0.8786868804161884,0.8487855590208865
207,0.8404232097067107,0.7518496392629015
208,0.8902616978696626,0.8195841414460331
209,0.9172666311205051,0.8618402873722022
210,0.8637940358594921,0.8161004091765895
211,0.8531476307809284,0.7983224091304946
212,0.8571512109839479,0.8090301459555314
213,0.8823354134007099,0.8089693441280815
214,0.8397701841288213,0.7607443509082853
215,0.9051229159204265,0.8651079136690647
216,0.8952755616010812,0.8243911456167106
217,0.8973833199181618,0.8521325262233723
218,0.8851379141601845,0.8529141386284244
219,0.8632701543852668,0.8197467441755667
220,0.8345081878873841,0.7910515557574381
221,0.8751404604303338,0.7892035560443589
222,0.8217104242065016,0.7512896094325718
223,0.9294468693733617,0.8636859323882224
224,0.8671102831589613,0.8373248983280615
225,0.8831323695924973,0.8648526894314803
226,0.9063680777411578,0.8531099380307551
227,0.8851379141601845,0.8529141386284244
228,0.8830694300038808,0.8515287894956618
229,0.8737265783272317,0.7915817135607811
230,0.8687496973466659,0.8067099268259009
231,0.9224395419552093,0.8891864438082926
232,0.8158590915831233,0.7120748605362606
233,0.8195414587190006,0.8010849909584087
234,0.8538451548145581,0.7618175155734701
235,0.9016590450811486,0.850341408661491
236,0.8624369142062482,0.7881843716903808
237,0.8648871827614106,0.813780260707635
238,0.8949376571042709,0.8602375960866527
239,0.9194930521218976,0.8448692795546836
240,0.8899189531715123,0.8417279582906619
241,0.9029031125641309,0.8612331745224109
242,0.9489680537146546,0.9076553698402438
243,0.9291447370984393,0.9074887830149405
244,0.8311170039155606,0.7612269262558545
245,0.9086308894342648,0.8727561917745967
246,0.8957706855112808,0.8265632131446828
247,0.8877560197078254,0.8512734709053728
248,0.8510561065150598,0.7803103116847453
249,0.9037314882132813,0.8331402085747392
250,0.8390607324676785,0.717848366251024
251,0.8750571458745643,0.7745106881933796
252,0.86234064024237,0.8164295548416705
253,0.8685844191273262,0.7833641738502505
254,0.8963984773122388,0.8506835891932247
255,0.9075473477489424,0.8688094457199081
256,0.8831900259381269,0.8330086278875591
257,0.9036578767622951,0.8900041248453183
258,0.8783809350988085,0.8258638071670791
259,0.8703826782264086,0.7970947659672585
260,0.9073610989493176,0.8701479385985252
261,0.8410700030579094,0.7791478788994203
262,0.8984793262275141,0.8443864707766946
263,0.8671016819111922,0.8042688041755988
264,0.8713699643228693,0.8537343450041137
265,0.8986669343973419,0.8335183129855716
266,0.8562398644400111,0.7709259174417007
267,0.8804659209167608,0.8366383809048419
268,0.9100475866347589,0.8620753068824422
269,0.837227437956549,0.7584092176175432
270,0.9215772774584076,0.8614062644368474
271,0.9196327910817568,0.8373616444544838
272,0.8638530047953016,0.8066031219781737
273,0.9036407924747233,0.8424467099165894
274,0.8431195416489337,0.7919305228876424
275,0.8657950112665515,0.8247394151831011
