group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
survival,gained_fdr,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,47,189,6,12.902838864454218,1.587617730425116e-05,0.00011251377828664954
survival,gained_fdr,HALLMARK_ALLOGRAFT_REJECTION,47,189,4,8.112130735386549,0.002085942438628382,0.009066896466571366
survival,gained_fdr,HALLMARK_MYOGENESIS,47,192,4,7.981197427016329,0.002208805506630178,0.009474613094229447
survival,gained_fdr,HALLMARK_COAGULATION,47,133,3,8.490209790209791,0.006555736818314906,0.024013148345737746
survival,gained_fdr,HALLMARK_APICAL_JUNCTION,47,183,3,6.112878787878788,0.015556618106496334,0.043591564279398115
survival,gained_fdr,HALLMARK_ESTROGEN_RESPONSE_LATE,47,185,3,6.044955044955045,0.016011460722391752,0.04386332937394715
survival,gained_fdr,HALLMARK_INTERFERON_GAMMA_RESPONSE,47,188,3,5.945823095823096,0.016707737762768137,0.04464526648083945
survival,gained_fdr,HALLMARK_COMPLEMENT,47,191,3,5.849854932301741,0.01742086720783488,0.04580002185285622
survival,gained_fdr,HALLMARK_INTERFERON_ALPHA_RESPONSE,47,89,2,8.29169859514687,0.026984607305954925,0.06468369104221548
survival,gained_fdr,HALLMARK_P53_PATHWAY,47,181,2,4.0072004965859715,0.09522397127803242,0.1682972499649582
survival,gained_fdr,HALLMARK_ADIPOGENESIS,47,182,2,3.9846913580246914,0.09611165990967029,0.16845376951909952
survival,gained_fdr,HALLMARK_ANGIOGENESIS,47,36,1,10.113664596273292,0.09846028188125916,0.16983096239836237
survival,gained_fdr,HALLMARK_HYPOXIA,47,186,2,3.8971014492753624,0.09968643328501771,0.1701454306330669
survival,gained_fdr,HALLMARK_GLYCOLYSIS,47,188,2,3.8547192353643966,0.10148794670850594,0.17033057738709995
survival,gained_fdr,HALLMARK_IL2_STAT5_SIGNALING,47,189,2,3.833868092691622,0.10239216460730043,0.17033057738709995
survival,gained_fdr,HALLMARK_KRAS_SIGNALING_UP,47,192,2,3.7726315789473683,0.10511842409609541,0.17033057738709995
survival,gained_fdr,HALLMARK_TNFA_SIGNALING_VIA_NFKB,47,192,2,3.7726315789473683,0.10511842409609541,0.17033057738709995
survival,gained_fdr,HALLMARK_XENOBIOTIC_METABOLISM,47,192,2,3.7726315789473683,0.10511842409609541,0.17033057738709995
survival,gained_fdr,HALLMARK_PROTEIN_SECRETION,47,93,1,3.8341209829867675,0.23527154988062393,0.30926824702049754
survival,gained_fdr,HALLMARK_PI3K_AKT_MTOR_SIGNALING,47,102,1,3.490529487731382,0.25492774355317765,0.32719072597770044
survival,gained_fdr,HALLMARK_UV_RESPONSE_DN,47,130,1,2.7281766093697337,0.31297084803355735,0.3864715774959837
survival,gained_fdr,HALLMARK_UV_RESPONSE_UP,47,144,1,2.458954089388872,0.3403087368651211,0.412418766609775
survival,gained_fdr,HALLMARK_APOPTOSIS,47,157,1,2.2522296544035676,0.3647389194422229,0.4355490393339365
survival,gained_fdr,HALLMARK_ESTROGEN_RESPONSE_EARLY,47,182,1,1.938145568099928,0.4092565653866732,0.4813155622318763
survival,gained_fdr,HALLMARK_MTORC1_SIGNALING,47,186,1,1.8957696827262045,0.41609009962561594,0.4813155622318763
survival,gained_fdr,HALLMARK_INFLAMMATORY_RESPONSE,47,195,1,1.8068130883012101,0.4311839168931326,0.4840064155448931
survival,lost_fdr,HALLMARK_MTORC1_SIGNALING,72,186,12,18.52758620689655,2.7596224408464312e-11,4.4981845785796826e-10
survival,lost_fdr,HALLMARK_COAGULATION,72,133,7,13.817948717948719,1.897002485920386e-06,1.4724352628810615e-05
survival,lost_fdr,HALLMARK_IL6_JAK_STAT3_SIGNALING,72,86,4,11.629124820659971,0.000557096751148488,0.002977271161875526
survival,lost_fdr,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,72,41,3,18.598398169336384,0.0007720728304411802,0.0038722421957511502
survival,lost_fdr,HALLMARK_P53_PATHWAY,72,181,5,6.833870420624152,0.0012039429047999144,0.005771843925952531
survival,lost_fdr,HALLMARK_ALLOGRAFT_REJECTION,72,189,5,6.5335009733939,0.00145811492187261,0.0065716033584451205
survival,lost_fdr,HALLMARK_CHOLESTEROL_HOMEOSTASIS,72,68,3,10.85484949832776,0.003334647242702355,0.013937115398986764
