pmid,n_patients,n_high,modal_consensus_high,modal_consensus_all,ba_sq_high_rate,ba_sq_low_rate,classification_v6_standard
35593896,402,201,Ba/Sq,Ba/Sq,0.5174129353233831,0.23880597014925373,microenvironment_correlated_standard
35626146,402,201,Ba/Sq,Ba/Sq,0.4129353233830846,0.34328358208955223,unclassified_standard
35646934,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
35669725,402,201,Ba/Sq,Ba/Sq,0.6567164179104478,0.09950248756218906,microenvironment_correlated_standard
35730624,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,unclassified_standard
35804889,402,201,Ba/Sq,Ba/Sq,0.46766169154228854,0.2885572139303483,microenvironment_correlated_standard
35846128,402,201,Ba/Sq,Ba/Sq,0.31840796019900497,0.43781094527363185,microenvironment_correlated_standard
35918812,402,201,Ba/Sq,Ba/Sq,0.43283582089552236,0.32338308457711445,microenvironment_correlated_standard
35949618,402,201,Ba/Sq,Ba/Sq,0.36318407960199006,0.39303482587064675,microenvironment_associated_attenuation_standard
35958598,402,201,Ba/Sq,Ba/Sq,0.4577114427860697,0.29850746268656714,microenvironment_correlated_standard
36158580,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,unclassified_standard
36211359,402,201,Ba/Sq,Ba/Sq,0.5174129353233831,0.23880597014925373,microenvironment_correlated_standard
36211821,402,201,Ba/Sq,Ba/Sq,0.3582089552238806,0.39800995024875624,unclassified_standard
36300085,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,microenvironment_correlated_standard
36358715,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,microenvironment_correlated_standard
36428492,402,201,Ba/Sq,Ba/Sq,0.6019900497512438,0.15422885572139303,microenvironment_correlated_standard
36455365,402,201,Ba/Sq,Ba/Sq,0.35323383084577115,0.40298507462686567,microenvironment_correlated_standard
36468020,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,microenvironment_correlated_standard
36505302,402,201,Ba/Sq,Ba/Sq,0.43781094527363185,0.31840796019900497,unclassified_standard
36527532,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,microenvironment_correlated_standard
36568387,402,201,Ba/Sq,Ba/Sq,0.472636815920398,0.2835820895522388,microenvironment_correlated_standard
36620542,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
36973645,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_correlated_standard
37138324,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,unclassified_standard
37152941,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,unclassified_standard
37244876,402,201,Ba/Sq,Ba/Sq,0.5074626865671642,0.24875621890547264,microenvironment_correlated_standard
37301098,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,microenvironment_correlated_standard
37379131,402,201,Ba/Sq,Ba/Sq,0.6467661691542289,0.10945273631840796,microenvironment_correlated_standard
37423913,402,201,LumP,Ba/Sq,0.31840796019900497,0.43781094527363185,microenvironment_correlated_standard
37455996,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_correlated_standard
37578544,402,201,Ba/Sq,Ba/Sq,0.527363184079602,0.22885572139303484,microenvironment_correlated_standard
37588995,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
37594617,402,201,Ba/Sq,Ba/Sq,0.4975124378109453,0.25870646766169153,microenvironment_correlated_standard
37701108,402,201,Ba/Sq,Ba/Sq,0.5323383084577115,0.22388059701492538,unclassified_standard
37740761,402,201,Ba/Sq,Ba/Sq,0.582089552238806,0.17412935323383086,unclassified_standard
37745978,402,201,Ba/Sq,Ba/Sq,0.4626865671641791,0.2935323383084577,microenvironment_correlated_standard
37747262,402,201,Ba/Sq,Ba/Sq,0.5323383084577115,0.22388059701492538,microenvironment_correlated_standard
37780567,402,201,LumP,Ba/Sq,0.29850746268656714,0.4577114427860697,microenvironment_correlated_standard
37807731,402,201,Ba/Sq,Ba/Sq,0.38308457711442784,0.373134328358209,unclassified_standard
37845668,402,201,Ba/Sq,Ba/Sq,0.4228855721393035,0.3333333333333333,microenvironment_correlated_standard
37849225,402,201,Ba/Sq,Ba/Sq,0.47761194029850745,0.27860696517412936,microenvironment_correlated_standard
37876438,402,201,Ba/Sq,Ba/Sq,0.4626865671641791,0.2935323383084577,unclassified_standard
37919060,402,201,Ba/Sq,Ba/Sq,0.40298507462686567,0.35323383084577115,microenvironment_correlated_standard
37965307,402,201,Ba/Sq,Ba/Sq,0.472636815920398,0.2835820895522388,microenvironment_correlated_standard
37968767,402,201,Ba/Sq,Ba/Sq,0.6716417910447762,0.0845771144278607,microenvironment_correlated_standard
38017469,402,201,Ba/Sq,Ba/Sq,0.4129353233830846,0.34328358208955223,unclassified_standard
38049825,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,microenvironment_correlated_standard
38073378,402,201,Ba/Sq,Ba/Sq,0.36318407960199006,0.39303482587064675,microenvironment_associated_attenuation_standard
38172584,402,201,Ba/Sq,Ba/Sq,0.6019900497512438,0.15422885572139303,unclassified_standard
38183115,402,201,LumP,Ba/Sq,0.2935323383084577,0.4626865671641791,unclassified_standard
38217031,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,microenvironment_correlated_standard
38273010,402,201,LumP,Ba/Sq,0.208955223880597,0.5472636815920398,microenvironment_associated_attenuation_standard
38282152,402,201,Ba/Sq,Ba/Sq,0.44776119402985076,0.30845771144278605,unclassified_standard
38305808,402,201,Ba/Sq,Ba/Sq,0.34328358208955223,0.4129353233830846,microenvironment_correlated_standard
38332160,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,unclassified_standard
38333832,402,201,Ba/Sq,Ba/Sq,0.46766169154228854,0.2885572139303483,unclassified_standard
38356551,402,201,Ba/Sq,Ba/Sq,0.5920398009950248,0.16417910447761194,microenvironment_correlated_standard
38387404,402,201,Ba/Sq,Ba/Sq,0.582089552238806,0.17412935323383086,microenvironment_correlated_standard
38507521,402,201,Ba/Sq,Ba/Sq,0.44776119402985076,0.30845771144278605,microenvironment_correlated_standard
38570787,402,201,Ba/Sq,Ba/Sq,0.32338308457711445,0.43283582089552236,unclassified_standard
38714517,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,microenvironment_correlated_standard
38735911,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,unclassified_standard
39033098,402,201,Ba/Sq,Ba/Sq,0.5323383084577115,0.22388059701492538,microenvironment_correlated_standard
39033778,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,microenvironment_correlated_standard
39115575,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,unclassified_standard
39160525,402,201,Ba/Sq,Ba/Sq,0.48756218905472637,0.26865671641791045,microenvironment_correlated_standard
39269596,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,unclassified_standard
39343809,402,201,Ba/Sq,Ba/Sq,0.5522388059701493,0.20398009950248755,microenvironment_associated_attenuation_standard
39368544,402,201,Ba/Sq,Ba/Sq,0.582089552238806,0.17412935323383086,microenvironment_correlated_standard
39380003,402,201,Ba/Sq,Ba/Sq,0.5174129353233831,0.23880597014925373,microenvironment_correlated_standard
39432593,402,201,Ba/Sq,Ba/Sq,0.3781094527363184,0.3781094527363184,microenvironment_associated_attenuation_standard
39503984,402,201,Ba/Sq,Ba/Sq,0.4975124378109453,0.25870646766169153,microenvironment_correlated_standard
39507864,402,201,Ba/Sq,Ba/Sq,0.373134328358209,0.38308457711442784,unclassified_standard
39695796,402,201,Ba/Sq,Ba/Sq,0.5024875621890548,0.2537313432835821,unclassified_standard
39708127,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,microenvironment_correlated_standard
39739621,402,201,Ba/Sq,Ba/Sq,0.472636815920398,0.2835820895522388,microenvironment_correlated_standard
39749345,402,201,Ba/Sq,Ba/Sq,0.48756218905472637,0.26865671641791045,unclassified_standard
39769061,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,unclassified_standard
39867879,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,microenvironment_correlated_standard
39991573,402,201,Ba/Sq,Ba/Sq,0.35323383084577115,0.40298507462686567,microenvironment_correlated_standard
40018511,402,201,Ba/Sq,Ba/Sq,0.48756218905472637,0.26865671641791045,microenvironment_correlated_standard
40097551,402,201,Ba/Sq,Ba/Sq,0.6467661691542289,0.10945273631840796,microenvironment_correlated_standard
40319103,402,201,Ba/Sq,Ba/Sq,0.4527363184079602,0.3034825870646766,microenvironment_correlated_standard
40330458,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,microenvironment_correlated_standard
40348840,402,201,Ba/Sq,Ba/Sq,0.32338308457711445,0.43283582089552236,microenvironment_correlated_standard
40376515,402,201,LumP,Ba/Sq,0.2885572139303483,0.46766169154228854,microenvironment_correlated_standard
40427675,402,201,Ba/Sq,Ba/Sq,0.373134328358209,0.38308457711442784,unclassified_standard
40442298,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,microenvironment_correlated_standard
40500142,402,201,LumP,Ba/Sq,0.31840796019900497,0.43781094527363185,microenvironment_associated_attenuation_standard
40589607,402,201,Ba/Sq,Ba/Sq,0.4427860696517413,0.31343283582089554,microenvironment_correlated_standard
40626022,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,microenvironment_correlated_standard
40703521,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,unclassified_standard
40735323,402,201,Ba/Sq,Ba/Sq,0.4228855721393035,0.3333333333333333,composition_adjustment_persistent_standard
40779729,402,201,Ba/Sq,Ba/Sq,0.5373134328358209,0.21890547263681592,microenvironment_correlated_standard
40867253,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,microenvironment_correlated_standard
40918470,402,201,Ba/Sq,Ba/Sq,0.48756218905472637,0.26865671641791045,unclassified_standard
40994220,402,201,LumP,Ba/Sq,0.2835820895522388,0.472636815920398,microenvironment_correlated_standard
41137061,402,201,Ba/Sq,Ba/Sq,0.4427860696517413,0.31343283582089554,microenvironment_correlated_standard
