pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count
40816225,10.1016/j.tranon.2025.102490,PMC12392321,Y,Y,Y,https://doi.org/10.1016/j.tranon.2025.102490:Subscription required | https://europepmc.org/articles/PMC12392321:Open access | https://europepmc.org/articles/PMC12392321?pdf=render:Open access,,0
40918470,10.32604/or.2025.064331,PMC12408864,Y,Y,Y,https://doi.org/10.32604/or.2025.064331:Subscription required | https://europepmc.org/articles/PMC12408864:Open access | https://europepmc.org/articles/PMC12408864?pdf=render:Open access,,0
40779729,10.1200/cci-25-00019,PMC12360192,Y,Y,Y,https://doi.org/10.1200/CCI-25-00019:Subscription required | https://europepmc.org/articles/PMC12360192:Open access | https://europepmc.org/articles/PMC12360192?pdf=render:Open access,,0
40735323,10.3389/fimmu.2025.1585727,PMC12303948,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1585727:Subscription required | https://europepmc.org/articles/PMC12303948:Open access | https://europepmc.org/articles/PMC12303948?pdf=render:Open access,,0
39690336,10.1007/s12094-024-03832-7,,N,N,N,https://doi.org/10.1007/s12094-024-03832-7:Subscription required,,0
40574864,10.3389/fimmu.2025.1604394,PMC12198250,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1604394:Subscription required | https://europepmc.org/articles/PMC12198250:Open access | https://europepmc.org/articles/PMC12198250?pdf=render:Open access,,0
40500142,10.1080/10255842.2025.2516767,,N,N,N,https://doi.org/10.1080/10255842.2025.2516767:Subscription required,,0
40442298,10.1038/s41598-025-03974-w,PMC12122888,Y,Y,Y,https://doi.org/10.1038/s41598-025-03974-w:Subscription required | https://europepmc.org/articles/PMC12122888:Open access | https://europepmc.org/articles/PMC12122888?pdf=render:Open access,,0
40520868,10.62347/abzg4705,PMC12163458,Y,Y,N,https://doi.org/10.62347/ABZG4705:Subscription required | https://europepmc.org/articles/PMC12163458:Free | https://europepmc.org/articles/PMC12163458?pdf=render:Free | https://doi.org/10.62347/abzg4705:Free,,0
40438104,10.3389/fimmu.2025.1593523,PMC12116251,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1593523:Subscription required | https://europepmc.org/articles/PMC12116251:Open access | https://europepmc.org/articles/PMC12116251?pdf=render:Open access,,0
40348840,10.1007/s12672-025-02581-5,PMC12065698,Y,Y,Y,https://doi.org/10.1007/s12672-025-02581-5:Free | https://doi.org/10.1007/s12672-025-02581-5:Subscription required | https://europepmc.org/articles/PMC12065698:Open access | https://europepmc.org/articles/PMC12065698?pdf=render:Open access,,0
40319103,10.1038/s42003-025-08094-9,PMC12049545,Y,Y,Y,https://doi.org/10.1038/s42003-025-08094-9:Subscription required | https://europepmc.org/articles/PMC12049545:Open access | https://europepmc.org/articles/PMC12049545?pdf=render:Open access,,0
40376515,10.21037/tau-2024-688,PMC12076236,Y,Y,Y,https://doi.org/10.21037/tau-2024-688:Subscription required | https://europepmc.org/articles/PMC12076236:Open access | https://europepmc.org/articles/PMC12076236?pdf=render:Open access,,0
40427675,10.3390/biology14050486,PMC12109300,Y,Y,Y,https://doi.org/10.3390/biology14050486:Subscription required | https://europepmc.org/articles/PMC12109300:Open access | https://europepmc.org/articles/PMC12109300?pdf=render:Open access,,0
40330458,10.3389/fimmu.2025.1572034,,N,N,N,https://doi.org/10.3389/fimmu.2025.1572034:Subscription required,,0
39269596,10.1007/s12094-024-03719-7,,N,N,N,https://doi.org/10.1007/s12094-024-03719-7:Subscription required,,0
40097551,10.1038/s41598-025-93674-2,PMC11914693,Y,Y,Y,https://doi.org/10.1038/s41598-025-93674-2:Free | https://doi.org/10.1038/s41598-025-93674-2:Subscription required | https://europepmc.org/articles/PMC11914693:Open access | https://europepmc.org/articles/PMC11914693?pdf=render:Open access,,0
40018511,10.1177/11769351251323569,PMC11866393,Y,Y,Y,https://doi.org/10.1177/11769351251323569:Free | https://doi.org/10.1177/11769351251323569:Subscription required | https://europepmc.org/articles/PMC11866393:Open access | https://europepmc.org/articles/PMC11866393?pdf=render:Open access,,0
39739621,10.1002/advs.202410998,PMC11831474,Y,Y,Y,https://doi.org/10.1002/advs.202410998:Subscription required | https://europepmc.org/articles/PMC11831474:Open access | https://europepmc.org/articles/PMC11831474?pdf=render:Open access,,0
39603145,10.1016/j.clgc.2024.102262,,N,N,N,https://doi.org/10.1016/j.clgc.2024.102262:Subscription required,,0
39991573,10.7150/jca.105066,PMC11843231,Y,Y,Y,https://doi.org/10.7150/jca.105066:Open access | https://doi.org/10.7150/jca.105066:Subscription required | https://europepmc.org/articles/PMC11843231:Open access | https://europepmc.org/articles/PMC11843231?pdf=render:Open access,,0
39867879,10.3389/fimmu.2024.1430583,PMC11757262,Y,Y,Y,https://doi.org/10.3389/fimmu.2024.1430583:Subscription required | https://europepmc.org/articles/PMC11757262:Open access | https://europepmc.org/articles/PMC11757262?pdf=render:Open access,,0
39708127,10.1007/s00262-024-03839-7,PMC11663206,Y,Y,Y,https://doi.org/10.1007/s00262-024-03839-7:Open access | https://doi.org/10.1007/s00262-024-03839-7:Subscription required | https://europepmc.org/articles/PMC11663206:Open access | https://europepmc.org/articles/PMC11663206?pdf=render:Open access,,0
39759522,10.3389/fimmu.2024.1522582,PMC11695344,Y,Y,Y,https://doi.org/10.3389/fimmu.2024.1522582:Subscription required | https://europepmc.org/articles/PMC11695344:Open access | https://europepmc.org/articles/PMC11695344?pdf=render:Open access,,0
39749345,10.3389/fimmu.2024.1493528,PMC11693660,Y,Y,Y,https://doi.org/10.3389/fimmu.2024.1493528:Subscription required | https://europepmc.org/articles/PMC11693660:Open access | https://europepmc.org/articles/PMC11693660?pdf=render:Open access,,0
39503984,10.1007/s12672-024-01505-z,PMC11541995,Y,Y,Y,https://doi.org/10.1007/s12672-024-01505-z:Free | https://doi.org/10.1007/s12672-024-01505-z:Subscription required | https://europepmc.org/articles/PMC11541995:Open access | https://europepmc.org/articles/PMC11541995?pdf=render:Open access,,0
39368544,10.1016/j.biocel.2024.106672,,N,N,N,https://doi.org/10.1016/j.biocel.2024.106672:Subscription required,,0
39507864,10.21037/tau-24-456,PMC11535731,Y,Y,Y,https://doi.org/10.21037/tau-24-456:Free | https://doi.org/10.21037/tau-24-456:Subscription required | https://europepmc.org/articles/PMC11535731:Open access | https://europepmc.org/articles/PMC11535731?pdf=render:Open access,,0
39432593,10.1097/md.0000000000040133,PMC11495766,Y,Y,Y,https://doi.org/10.1097/MD.0000000000040133:Subscription required | https://europepmc.org/articles/PMC11495766:Open access | https://europepmc.org/articles/PMC11495766?pdf=render:Open access,,0
39343809,10.1038/s41598-024-73422-8,PMC11439906,Y,Y,Y,https://doi.org/10.1038/s41598-024-73422-8:Free | https://doi.org/10.1038/s41598-024-73422-8:Subscription required | https://europepmc.org/articles/PMC11439906:Open access | https://europepmc.org/articles/PMC11439906?pdf=render:Open access,,0
39160525,10.1186/s12885-024-12790-w,PMC11331755,Y,Y,Y,https://doi.org/10.1186/s12885-024-12790-w:Subscription required | https://europepmc.org/articles/PMC11331755:Open access | https://europepmc.org/articles/PMC11331755?pdf=render:Open access,,0
39115575,10.1007/s12672-024-01219-2,PMC11310377,Y,Y,Y,https://doi.org/10.1007/s12672-024-01219-2:Subscription required | https://europepmc.org/articles/PMC11310377:Open access | https://europepmc.org/articles/PMC11310377?pdf=render:Open access,,0
39033098,10.1186/s12935-024-03447-6,PMC11264995,Y,Y,Y,https://doi.org/10.1186/s12935-024-03447-6:Subscription required | https://europepmc.org/articles/PMC11264995:Open access | https://europepmc.org/articles/PMC11264995?pdf=render:Open access,,0
39033778,10.18632/aging.206021,PMC11315389,Y,Y,Y,https://doi.org/10.18632/aging.206021:Open access | https://doi.org/10.18632/aging.206021:Subscription required | https://europepmc.org/articles/PMC11315389:Open access | https://europepmc.org/articles/PMC11315389?pdf=render:Open access,,0
38735911,10.1007/s12672-024-01008-x,PMC11089032,Y,Y,Y,https://doi.org/10.1007/s12672-024-01008-x:Subscription required | https://europepmc.org/articles/PMC11089032:Open access | https://europepmc.org/articles/PMC11089032?pdf=render:Open access,,0
