pmid,doi,title,year,journal,authors,n_genes,extraction_status,confidence,source,endpoint_overall_survival,endpoint_recurrence,endpoint_progression,endpoint_immunotherapy_response,platform_rna_seq,platform_microarray,platform_tcga,platform_geo,sample_size_mentions,immune_related_by_title_or_abstract
41337795,10.1016/j.cyto.2025.157084,Natural killer cell-related gene signature predicts immune cell infiltration and improved survival in bladder cancer.,2026,,Huang Y; Gong C; Yang E; Yuan H; Lv D; Yang C; Chen W; Wan Q; Tan Z; Wang H,8,extracted,high,fulltext,0,0,0,0,0,0,0,0,,1
41357226,10.3389/fimmu.2025.1607222,Gene signature for response prediction to immunotherapy and prognostic markers in metastatic urothelial carcinoma.,2025,,Langfelder P; Lin ET; Tsai YT; Cha TL; Shieh GS,5,extracted,high,abstract,1,0,0,1,0,0,0,0,,0
41252049,10.1007/s12672-025-03927-9,Utilizing a novel mitochondrial-related gene signature for predicting the prognosis and immunological impact in bladder cancer.,2025,,Wu G; Fan C; Ma X; Yao D; Yu W; Tian J,6,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
41216727,10.1080/10255842.2025.2585143,Construction and mechanistic exploration of a ferroptosis related gene based prognostic model for cisplatin resistance in bladder cancer.,2025,,Shao Y; Yu Q; Zhu J; Wang X,3,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
41198839,10.1038/s41598-025-22803-8,Integration of Single-cell and bulk RNA sequencing data uncovers lymphatic metastasis-related prognostic genes and a predictive model in bladder cancer.,2025,,Yang B; Wei Y; Liu S; Wang J; Zhao X; Wang J; Fu Y; Wang C; Yang X,9,extracted,high,abstract,1,0,0,0,1,0,0,0,,0
40779729,10.1200/CCI-25-00019,Risk Score Model of Aging-Related Genes for Bladder Cancer and Its Application in Clinical Prognosis.,2025,,Lu K; Chao L; Wang J; Wang X; Cai L; Zhang J; Zhang S,12,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
40735323,10.3389/fimmu.2025.1585727,Lactylation prognostic signature identifies DHCR7 as a modulator of chemoresistance and immunotherapy efficacy in bladder cancer.,2025,,Zhao Y; Xing Z; Zhao Y; Xu H; Liu R; Yang T; Wang Y; Zhu X,9,extracted,high,fulltext_window,1,0,0,1,0,0,0,0,,0
40500142,10.1080/10255842.2025.2516767,Machine learning-driven construction and validation of an intra-tumoral heterogeneity-associated prognostic model for bladder urothelial carcinoma.,2025,,Gu Y; Zhuo H,12,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
40442298,10.1038/s41598-025-03974-w,Disulfide bond-related gene signature development for bladder cancer prognosis prediction and immune microenvironment characterization.,2025,,Huang H; Shao H; Wang Y; Ge L,8,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
40520868,10.62347/ABZG4705,The role of LRRC15-SCG5 in ECM protein binding as a prognostic signature for urothelial carcinoma.,2025,,Dong SW; Chen CH; Tzou KY; Hu SW; Wu CC; Li CH,0,excluded,missing,none,1,0,0,0,0,0,0,0,,0
