"pmid","effect","estimate","se","z","pvalue","lower","upper"
30642841,"cde",0.264445720506199,0.113154300833255,2.33703640567661,0.0194372911885863,0.0426673661772093,0.486224074835189
30642841,"pnde",0.327028919270223,0.115524060704612,2.83082950231827,0.00464274624029515,0.100605920941364,0.553451917599082
30642841,"tnie",0.0307007206746866,0.0384041097510781,0.799412377312685,0.424051335841679,-0.04456995129575,0.105971392645123
30642841,"tnde",0.375648418452576,0.12162257328082,3.08864060609229,0.00201074519518363,0.137272555115085,0.614024281790067
30642841,"pnie",-0.0179187785076661,0.0245889311777056,-0.728733525591907,0.46616468094719,-0.066112198034303,0.0302746410189708
30642841,"te",0.35772963994491,0.130425407705747,2.74279104230967,0.00609194376893307,0.102100538172693,0.613358741717126
30642841,"pm",0.100533520076951,0.11131592115493,0.903136937051689,0.366453222391411,-0.117641676292612,0.318708716446514
33292266,"cde",-0.273554350513684,0.123574380952488,-2.21368173892662,0.0268506799932731,-0.515755686592393,-0.0313530144349751
33292266,"pnde",-0.266998755124213,0.133531920201551,-1.99951258636294,0.0455529214228139,-0.528716509505731,-0.00528100074269633
33292266,"tnie",0.0145541690774597,0.0540468831618238,0.269287852065077,0.78770817967329,-0.0913757753963593,0.120484113551279
33292266,"tnde",-0.323789535368577,0.129654381960399,-2.49732813093408,0.0125133107162554,-0.577907454448759,-0.0696716162883946
33292266,"pnie",0.0713449493218231,0.0420662518365302,1.69601393532921,0.0898832410203025,-0.0111033892423679,0.153793287886014
33292266,"te",-0.252444586046754,0.112517421376354,-2.24360443883942,0.0248578634135703,-0.472974679577725,-0.0319144925157825
33292266,"pm",-0.0503146614764955,0.182505420268544,-0.27568858723462,0.782787262127653,-0.408018712186188,0.307389389233197
33391264,"cde",0.230054026675655,0.115463048084969,1.9924471984003,0.0463220131130071,0.00375061088389991,0.45635744246741
33391264,"pnde",0.257712242508294,0.122566451774652,2.10263280674974,0.0354978798446641,0.0174864113171105,0.497938073699478
33391264,"tnie",-0.00704140146349829,0.0287909649835348,-0.244569831804011,0.806789525480804,-0.0634706559113804,0.0493878529843838
33391264,"tnde",0.23835718003957,0.119046976717726,2.00221111540482,0.0452620307244174,0.00502939320444817,0.471684966874692
33391264,"pnie",0.0123136610052264,0.0208647134182679,0.590166793014529,0.555078832569268,-0.0285804258423283,0.053207747852781
33391264,"te",0.250670841044796,0.114957455655027,2.18055314130323,0.0292164842123048,0.0253583682065823,0.47598331388301
33391264,"pm",-0.0318699387981954,0.129494827403799,-0.246109743818698,0.805597280545433,-0.285675136693871,0.221935259097481
34418989,"cde",-0.292940938434838,0.0978478618630498,-2.99384097779107,0.0027548948868712,-0.484719223650666,-0.10116265321901
34418989,"pnde",-0.299712562194366,0.0995965253905067,-3.00926725123418,0.00261878644806912,-0.494918164945088,-0.104506959443644
34418989,"tnie",0.0379136647593637,0.0271527252706282,1.39631158130473,0.162620687775347,-0.0153046988531782,0.0911320283719056
34418989,"tnde",-0.279950670590897,0.103464365034296,-2.70576899107339,0.00681464328124615,-0.482737099741422,-0.0771642414403711
34418989,"pnie",0.0181517731558947,0.0169516073821478,1.07079952636296,0.284259579941899,-0.0150727667931783,0.0513763131049676
34418989,"te",-0.261798897435002,0.107287662090524,-2.44015847054351,0.0146808202650284,-0.472078851117932,-0.0515189437520716
34418989,"pm",-0.124317614160159,0.12258577715363,-1.01412755253293,0.310521892407029,-0.364581322398127,0.11594609407781
34803395,"cde",0.300879520594999,0.117360763884164,2.56371474279061,0.0103558616975299,0.0708566501839286,0.53090239100607
34803395,"pnde",0.261135078950896,0.11556915021037,2.25955697065829,0.0238487607189828,0.0346237068146712,0.48764645108712
34803395,"tnie",0.0972396136236394,0.0817802129727664,1.18903595489561,0.23442551866523,-0.063046658450998,0.257525885698277
34803395,"tnde",0.338767870146619,0.120550551784623,2.81017270457512,0.00495149219819391,0.102493130332326,0.575042609960912
34803395,"pnie",0.0196068224279161,0.0543843547495667,0.360523215145295,0.718455899045559,-0.0869845542036844,0.126198199059517
34803395,"te",0.358374692574535,0.129898150471636,2.758889878519,0.00579980754708243,0.103778995991763,0.612970389157307
34803395,"pm",0.30765229806303,0.217595874224077,1.41387008903585,0.157400049661606,-0.118827778600669,0.734132374726728
35949618,"cde",-0.180600113008199,0.120335436990546,-1.50080572709756,0.133405816960094,-0.416453235573558,0.0552530095571603
35949618,"pnde",-0.179305552386041,0.122629297809675,-1.4621754799928,0.143693129049494,-0.419654559542441,0.0610434547703585
35949618,"tnie",0.0315825635085324,0.0560525675531368,0.563445438580359,0.573131603447478,-0.0782784501366142,0.141443577153679
35949618,"tnde",-0.190450122892381,0.120605919029554,-1.57911091283763,0.11431061902253,-0.42683338051266,0.0459331347278991
35949618,"pnie",0.0427271340148715,0.0367157089124971,1.16372896725762,0.244533866409603,-0.0292343331204791,0.114688601150222
35949618,"te",-0.147722988877509,0.115125484579385,-1.28314759687848,0.199440371090698,-0.373364792355825,0.0779188146008074
35949618,"pm",-0.195293065926657,0.393631989026011,-0.496131085306057,0.619801928722728,-0.966797587580505,0.57621145572719
38073378,"cde",-0.368699153943219,0.11155717222669,-3.30502420045216,0.000949681994595775,-0.587347193724663,-0.150051114161775
38073378,"pnde",-0.367654001645924,0.111603209870557,-3.29429594428643,0.000986685552630151,-0.586392273551281,-0.148915729740567
38073378,"tnie",0.0707373778625915,0.0402994908096744,1.75529210025676,0.0792093570383725,-0.00824817271967319,0.149722928444856
38073378,"tnde",-0.342931345979895,0.120958476648496,-2.83511627693898,0.00458090093305974,-0.580005603835777,-0.105857088124013
38073378,"pnie",0.0460147221965626,0.0278906564280877,1.64982571547591,0.098978587580431,-0.00864995990766988,0.100679404300795
38073378,"te",-0.296916623783332,0.121743777890663,-2.43886487611704,0.0147334762754507,-0.535530043790876,-0.058303203775789
38073378,"pm",-0.197549441111354,0.169797340281091,-1.16344249435428,0.244650016905139,-0.530346112732984,0.135247230510276
38273010,"cde",0.231785693350119,0.113635687115621,2.03972624475165,0.0413775994175027,0.0090638392450399,0.454507547455197
38273010,"pnde",0.263318088074508,0.11378015620988,2.31427075551549,0.0206528749051089,0.0403130797478027,0.486323096401213
38273010,"tnie",0.00208790922037723,0.0124530668816184,0.167662250610661,0.866848995370851,-0.0223196533646634,0.0264954718054178
38273010,"tnde",0.274815882640205,0.11474800647277,2.39495125961442,0.0166225747649331,0.0499139226558064,0.499717842624603
38273010,"pnie",-0.00940988534531969,0.0106574415417902,-0.882940366918406,0.377268491949144,-0.0302980869345695,0.0114783162439301
38273010,"te",0.265405997294885,0.116679622632704,2.27465594511183,0.0229265772180949,0.0367181392050603,0.49409385538471
38273010,"pm",0.00894758518991411,0.0524415332924859,0.17062020555368,0.864522409160031,-0.0938359313574165,0.111731101737245
39343809,"cde",-0.472527862221439,0.132247370682966,-3.5730605438971,0.000352833142249098,-0.73172794581017,-0.213327778632708
39343809,"pnde",-0.473676169251779,0.133344873642322,-3.55226381272327,0.000381931727181817,-0.735027319113775,-0.212325019389783
39343809,"tnie",0.170323450591982,0.0765666665870741,2.22451176450636,0.0261140318717861,0.0202555416650305,0.320391359518933
39343809,"tnde",-0.481005244399777,0.14800824379887,-3.24985441387591,0.00115464102705665,-0.771096071660585,-0.190914417138969
39343809,"pnie",0.17765252573998,0.0684438918740016,2.59559357125718,0.00944276876670447,0.0435049627051835,0.311800088774777
39343809,"te",-0.303352718659797,0.123505277038833,-2.45619236629393,0.0140417969491777,-0.545418613556551,-0.0612868237630435
39343809,"pm",-0.441906079033245,0.300188694815452,-1.4720943415438,0.140995403307618,-1.03026510943762,0.146452951371127
39432593,"cde",0.248672214031977,0.107244545476877,2.31873996879022,0.0204091399450648,0.0384767673589289,0.458867660705024
39432593,"pnde",0.244135818208118,0.111936057025302,2.18102928311056,0.0291812506447593,0.0247451778671038,0.463526458549132
39432593,"tnie",0.00188626950589454,0.00594591483944496,0.317237894727503,0.751063097938331,-0.00976750943455984,0.0135400484463489
39432593,"tnde",0.244581977150088,0.111258809804781,2.19831559927022,0.0279266235314397,0.0265187169699263,0.46264523733025
39432593,"pnie",0.00144011056392446,0.00448628623890229,0.321002826666903,0.748208248805737,-0.00735284888866168,0.0102330700165106
39432593,"te",0.246022087714013,0.111557545123429,2.2053379486059,0.0274303887884098,0.0273733170683903,0.464670858359635
39432593,"pm",0.00864068970962957,0.0275571007691459,0.313555833830824,0.753858408375929,-0.0453702353162373,0.0626516147354965
40500142,"cde",0.371895790420887,0.0815556785227632,4.56002325229979,5.11479569609286e-06,0.212049597781544,0.531741983060229
40500142,"pnde",0.382186294190382,0.084932423859499,4.49988681381118,6.79896544864e-06,0.215721802306073,0.54865078607469
40500142,"tnie",-0.0228918580785985,0.0368045285211504,-0.621984820847339,0.533951849120907,-0.0950274084480305,0.0492436922908335
40500142,"tnde",0.39874078120098,0.0934508334843146,4.26685098820341,1.98251482765865e-05,0.215580513246474,0.581901049155487
40500142,"pnie",-0.0394463450891972,0.0272704239079675,-1.44648815223119,0.148040332714692,-0.0928953937919536,0.0140027036135592
40500142,"te",0.359294436111783,0.0984477057265498,3.64959684393018,0.00026265220591859,0.166340478527148,0.552248393696418
40500142,"pm",-0.0767179935930043,0.134819362369444,-0.569042845513355,0.56932706383308,-0.340959088255768,0.18752310106976
41505248,"cde",-0.395384470500208,0.1237394948987,-3.19529727209483,0.00139686880012446,-0.637909423966838,-0.152859517033579
41505248,"pnde",-0.388974865099574,0.121139363344493,-3.21097002956352,0.00132287730781333,-0.626403654364893,-0.151546075834256
41505248,"tnie",0.119701753867104,0.0689214688563227,1.73678471822243,0.0824251774338891,-0.0153818428528873,0.254785350587096
41505248,"tnde",-0.351162511421017,0.132004852593915,-2.66022426085573,0.00780886378884293,-0.609887268289608,-0.0924377545524252
41505248,"pnie",0.0818894001885464,0.0455022955849467,1.79967623909589,0.0719117750732743,-0.00729346037184506,0.171072260748938
41505248,"te",-0.26927311123247,0.131507665980725,-2.04758490103488,0.0406006900607832,-0.527023400245614,-0.0115228222193264
41505248,"pm",-0.365082213061704,0.336512814212301,-1.08489839804846,0.277966657586213,-1.02463520925403,0.294470783130624
42059994,"cde",-0.390387174580632,0.136679137925608,-2.85623088135889,0.00428703264581198,-0.658273362352806,-0.122500986808459
42059994,"pnde",-0.383857978205931,0.135406918599253,-2.83484759993681,0.00458475510929013,-0.649250661918013,-0.118465294493848
42059994,"tnie",0.210909625368298,0.0899177752726264,2.34558322566177,0.0189973368159868,0.0346740242639836,0.387145226472612
42059994,"tnde",-0.329522248220676,0.162219310511078,-2.03133799041867,0.0422207200735945,-0.647466254419309,-0.0115782420220433
42059994,"pnie",0.156573895383043,0.0735114285253034,2.12992589756501,0.0331777316774831,0.0124941430213578,0.300653647744728
42059994,"te",-0.172948352837633,0.148715101506299,-1.16295084417037,0.244849446817976,-0.464424595747198,0.118527890071932
42059994,"pm",-1.00713987328332,1.16657700911854,-0.863329094788445,0.387956551832357,-3.2935887963481,1.27930904978147
42436233,"cde",-0.337089060214467,0.131420162586058,-2.56497217459864,0.0103184079414829,-0.594667845725538,-0.0795102747033954
42436233,"pnde",-0.318939698062817,0.124633785156144,-2.55901477808157,0.0104969279035307,-0.563217428225763,-0.0746619678998709
42436233,"tnie",0.173924252752605,0.0753166946844989,2.30923905358795,0.0209303195462796,0.0263062437363879,0.321542261768822
42436233,"tnde",-0.264728958738536,0.132858917997191,-1.99255693730798,0.0463099845943915,-0.52512765303799,-0.0043302644390808
42436233,"pnie",0.119713513428324,0.0586282806055083,2.04190728760816,0.0411607287542333,0.00480419496601943,0.234622831890628
42436233,"te",-0.145015445310212,0.123054290341448,-1.17846720262923,0.238610400059519,-0.386197422522584,0.0961665319021611
42436233,"pm",-1.02295324262781,1.11783676250002,-0.91511862639049,0.360129357568624,-3.21387303772269,1.16796655246708
